iter,sparrow,role,fitness,hidden_size,num_layers,dropout,learning_rate,batch_size
0,0,init,0.006018640545450828,113,1,0.012505377611333468,0.00029326927275400246,32
0,1,init,0.005868113431331169,49,3,0.05124758808575375,0.001812893456296681,128
0,2,init,0.0073543257847301325,43,3,0.2109609098426352,0.00011236332497166048,32
0,3,init,0.007010339326890451,61,3,0.30100936452499016,0.0008985423002761662,128
0,4,init,0.007037162103058238,115,3,0.27247074030160834,0.0002368765147980833,128
0,5,init,0.007033634773159231,67,1,0.37940368356488363,0.0001867481849244081,64
0,6,init,0.0048640721784481275,75,2,0.07773974990589078,0.004229376009006695,64
0,7,init,0.008506060541946102,45,1,0.1899636503186687,0.0004072819839977612,64
1,6,producer,0.003436120277778669,64,2,0.0,0.005,64
1,1,scrounger,0.005846126770068493,101,3,0.1042319117260278,0.005,128
1,0,scrounger,0.007258767361583357,37,3,0.14297412220044808,0.00029326927275400246,64
1,3,scrounger,0.006006437777874193,61,3,0.0,0.005,128
1,5,scrounger,0.006994690024293959,67,1,0.0,0.0001867481849244081,64
1,4,scrounger,0.008930885455421438,35,1,0.0,0.005,128
1,2,scrounger,0.003920475273414261,32,1,0.0,0.005,32
1,7,scrounger,0.003355017964548262,32,1,0.5,0.005,32
1,1,scout,0.011023841693531721,44,1,0.04613040901323755,0.0015392479824007854,32
2,7,producer,0.004027594062063144,32,1,0.5,0.0018227613372934404,32
2,6,scrounger,0.0019917256783545862,64,1,0.0,0.005,64
2,2,scrounger,0.003355017964548262,32,1,0.5,0.005,32
2,1,scrounger,0.004340249473369278,32,1,0.1042319117260278,0.005,32
2,3,scrounger,0.003920475273414261,32,1,0.0,0.005,32
2,0,scrounger,0.0061854240087665276,113,1,0.5,0.00029326927275400246,32
2,5,scrounger,0.0030662902915667345,128,1,0.5,0.005,128
2,4,scrounger,0.003920475273414261,32,1,0.0,0.005,32
2,2,scout,0.003426142787377882,128,3,0.5,0.005,128
3,6,producer,0.0031515757891942154,66,2,0.3381812519933197,0.005,64
3,5,scrounger,0.003355017964548262,32,1,0.5,0.005,32
3,2,scrounger,0.003355017964548262,32,1,0.5,0.005,32
3,7,scrounger,0.004280465619575063,96,1,0.5,0.005,64
3,3,scrounger,0.003920475273414261,32,1,0.0,0.005,32
3,4,scrounger,0.0031497123534791173,32,1,0.0,0.005,64
3,1,scrounger,0.0018188747902802955,128,1,0.2900876025205538,0.005,32
3,0,scrounger,0.003920475273414261,32,1,0.0,0.005,32
3,3,scout,0.005509663166859272,39,1,0.0,0.005,32
4,1,producer,0.002059601587031714,66,1,0.3870172338523538,0.005,32
4,6,scrounger,0.002857997717431069,128,1,0.0,0.005,32
4,5,scrounger,0.0030662902915667345,128,1,0.5,0.005,128
4,4,scrounger,0.0020549199771432375,128,1,0.5,0.005,32
4,2,scrounger,0.003355017964548262,32,1,0.5,0.005,32
4,7,scrounger,0.003355017964548262,32,1,0.5,0.005,32
4,3,scrounger,0.003920475273414261,32,1,0.0,0.005,32
4,0,scrounger,0.003355017964548262,32,1,0.5,0.005,32
4,1,scout,0.0020549199771432375,128,1,0.5,0.005,32
5,1,producer,0.0020549199771432375,128,1,0.5,0.005,32
5,6,scrounger,0.0020549199771432375,128,1,0.5,0.005,32
5,4,scrounger,0.0020549199771432375,128,1,0.5,0.005,32
5,5,scrounger,0.0020549199771432375,128,1,0.5,0.005,32
5,0,scrounger,0.0026532073552847247,128,1,0.08017520504110764,0.005,32
5,2,scrounger,0.003355017964548262,32,1,0.5,0.005,32
5,7,scrounger,0.003355017964548262,32,1,0.5,0.005,32
5,3,scrounger,0.00357294571015452,32,3,0.0,0.005,32
5,2,scout,0.0020549199771432375,128,1,0.5,0.005,32
6,1,producer,0.0015765278267777334,128,2,0.0,0.005,32
6,6,scrounger,0.002857997717431069,128,1,0.0,0.005,32
6,4,scrounger,0.0026532073552847247,128,1,0.08017520504110764,0.005,32
6,2,scrounger,0.0020549199771432375,128,1,0.5,0.005,32
6,5,scrounger,0.0026532073552847247,128,1,0.08017520504110764,0.005,32
6,0,scrounger,0.0020549199771432375,128,1,0.5,0.005,32
6,7,scrounger,0.003920475273414261,32,1,0.0,0.005,32
6,3,scrounger,0.003355017964548262,32,1,0.5,0.005,32
6,0,scout,0.0016990681651143612,128,1,0.2828393996255518,0.005,32
