tag,epoch,train_mse_scaled,val_mse_scaled,wall_time_s
lstm_issa,1,0.002256644368537706,0.0007654360538667374,1.1295006275177002
lstm_issa,2,0.0007171985135409422,0.0007231339093281845,2.259799003601074
lstm_issa,3,0.0007199311796215496,0.0007614257929658792,3.389834403991699
lstm_issa,4,0.0007531770380719628,0.0008232167527735741,4.520637512207031
lstm_issa,5,0.0006966024237363176,0.0006613785440342987,5.6517653465271
lstm_issa,6,0.000702773421091691,0.0008260930254519653,6.781519412994385
lstm_issa,7,0.0006974543793638141,0.0007883705479219894,7.911898374557495
lstm_issa,8,0.000674163223743447,0.0007541679653513711,9.042937517166138
lstm_issa,9,0.0006860550937758697,0.0007513648835976545,10.1738121509552
lstm_issa,10,0.0006542197207054784,0.0007161772638606966,11.304075479507446
